Trdmnt,YYYYMM,Year,Month,MKT,SMB,VMG,SV,SM,SG,BV,BM,BG,MarketReturn,NumStocks
2007-06-01,200706,2007,6,-0.056295787335657405,-0.09041966472229207,0.06537798238534784,-0.11347590893802312,-0.0990173152845952,-0.21090694362172585,-0.05377115666172061,-0.011273930267033811,-0.08709608674871354,-0.05462912066899074,851
2007-07-01,200707,2007,7,0.19494767927580195,0.04628151028117644,-0.018929569691070236,0.25203442319254776,0.24704363548923536,0.23186086342143966,0.17213170715266002,0.18979827780112482,0.2301644063059086,0.19661434594246863,863
2007-08-01,200708,2007,8,0.18466119776048898,-0.06079001416643262,0.0074166330883449205,0.10273221495434133,0.11374850366036018,0.1595720739683405,0.24290865425467123,0.14427865176368646,0.17123552906398218,0.18632786442715565,863
2007-09-01,200709,2007,9,0.124866535589806,-0.07714252096923314,-0.054655195415578325,0.05851691724918862,0.06022690098388515,0.0767717846840466,0.12129600869645721,0.09329562503560679,0.21235153209275587,0.12653320225647266,858
2007-10-01,200710,2007,10,0.019900220383988396,-0.1275980218941028,0.028770713615330415,-0.09677875845782091,-0.08089595931498846,-0.11605607050638936,0.0821547821055733,-0.036982171625944533,0.04389066692348091,0.021566887050655063,868
2007-11-01,200711,2007,11,-0.1471377386420237,0.10604533183467602,-0.03149263100198274,-0.06124263995888308,-0.04193894246488243,-0.045505996894015854,-0.18787812366199835,-0.13831594643691097,-0.1406295047229001,-0.14547107197535702,877
2007-12-01,200712,2007,12,0.1699477056170564,0.04799792287277124,-0.02712554737588868,0.22033996072703094,0.2277331133467841,0.21751179642701837,0.1534155767500402,0.15768068933064933,0.21049483580183015,0.1716143722837231,881
2008-01-01,200801,2008,1,-0.1272303885062491,0.08490468927161468,-0.0015842745096257688,-0.03422370459708301,-0.04771103364772,-0.062098811658011815,-0.15273505087347183,-0.12432117205089552,-0.1216913947932915,-0.12556372183958242,898
2008-02-01,200802,2008,2,0.008667596686626484,0.08515947536297838,-0.05498870044921446,0.08892194337867454,0.09913408077526578,0.11990399224599402,-0.029480387930110208,0.03244701414011015,0.049514964100999224,0.010334263353293151,903
2008-03-01,200803,2008,3,-0.2148531680336844,0.022151839326841893,-0.026456561584251415,-0.20124076330763352,-0.18509492240540812,-0.16930924569064332,-0.2399922913548335,-0.16309747222605636,-0.21901068580332084,-0.21318650136701772,908
2008-04-01,200804,2008,4,0.035836787079833676,-0.08352304634392829,0.038066327902916544,-0.022422933921624567,-0.02492484660572223,-0.07616753167443155,0.04678546970842203,0.055870945466188586,0.02439741165539593,0.03750345374650034,913
2008-05-01,200805,2008,5,-0.03167486492738972,0.022481554682086867,-0.07155336538723725,-0.030175467120590715,-0.0173920302226303,0.007154090067619046,-0.0967080513846599,-0.020219142138807492,0.009069122201604834,-0.030008198260723054,915
2008-06-01,200806,2008,6,-0.21354636777004762,-0.026955909083729412,-0.029733315340497946,-0.2568945494580176,-0.2320486303284257,-0.2539826519217357,-0.26549945554666754,-0.18761392650836967,-0.20894472240195358,-0.21187970110338095,928
2008-07-01,200807,2008,7,0.029604311772118138,0.07497802580793972,-0.037710985866804145,0.10921331951851002,0.10515807092135165,0.09183559784437281,-0.01930220158263298,0.027077620617935796,0.0734974918251125,0.031270978438784805,946
2008-08-01,200808,2008,8,-0.17988260725961422,-0.03413130049013746,-0.03529508616870475,-0.20648585964704352,-0.2237414312079305,-0.21459033913572653,-0.23017663406910466,-0.1607651122081714,-0.15148198224301213,-0.17821594059294754,954
2008-09-01,200809,2008,9,-0.015043597028546633,-0.07444506251522119,-0.010128782139288625,-0.0958155849737316,-0.06432775801065818,-0.08229202950687341,-0.009332960723420165,-0.007168272310478321,-0.002598951911701106,-0.013376930361879966,960
2008-10-01,200810,2008,10,-0.24772809020617356,0.014162362712999949,-0.05371450054839294,-0.2518964012386148,-0.2269104835455128,-0.25447543076275625,-0.34249438720489755,-0.20078865989701594,-0.23248635658397018,-0.24606142353950688,963
2008-11-01,200811,2008,11,0.14246426534096276,0.08735134036143066,-0.04424358481213886,0.20983558346978917,0.25004438688619446,0.22839774962764117,0.11302147379221203,0.13025574784848296,0.18294647725863772,0.14413093200762944,967
2008-12-01,200812,2008,12,-0.0069243587168412515,0.08937420003633668,-0.0010058516238688545,0.09304095499162597,0.11179721000321184,0.05453940319996766,-0.04840823990675301,0.047558192859905375,-0.007894984867356993,-0.0052576920501745845,972
2009-01-01,200901,2009,1,0.10861579652403346,0.07121305994297501,0.00099243339106031,0.18265810293872106,0.19262677785831572,0.1528160861494072,0.09851526897633628,0.08957409915765319,0.12637241898352952,0.11028246319070012,971
2009-02-01,200902,2009,2,0.06755004796973486,0.015287371483209106,-0.07586700811957332,0.060173432029328455,0.10880040146962991,0.11980264236246708,0.03462503397022218,0.08155948756534573,0.1267298398762302,0.06921671463640153,977
2009-03-01,200903,2009,3,0.16685277034935386,0.056718338243505834,-0.05686456737702447,0.22361317604410097,0.24411805675794085,0.23722202727460923,0.12067106585057663,0.19333583012143965,0.2207913493741173,0.16851943701602054,977
2009-04-01,200904,2009,4,0.06514292274846316,0.028768790625463156,0.015832153521768477,0.09777442737128926,0.0809726707539945,0.08713746118244634,0.07239951440520996,0.05580649947561476,0.05137217355051593,0.06680958941512982,979
2009-05-01,200905,2009,5,0.07408147280938497,0.009178952914616484,-0.010612321530019508,0.04472011844401951,0.08606355626185389,0.10108041070729043,0.0905081197382966,0.0584466363959531,0.055372470535064694,0.07574813947605163,973
2009-06-01,200906,2009,6,0.09305687869468152,-0.04955600617193614,-0.02214801368893174,0.046152514055367605,0.047768572376287385,0.06607918795947759,0.09574945855867525,0.09280002231583695,0.12011881203242875,0.09472354536134818,975
2009-07-01,200907,2009,7,0.18920318441093673,-0.053282261159607214,-0.07761967988429547,0.14445405035254244,0.15954556510814688,0.16111828516992766,0.16861706493134862,0.1491554292955356,0.30719218988255437,0.1908698510776034,973
2009-08-01,200908,2009,8,-0.19050992622224594,0.07619683564973885,0.011293516192600772,-0.12031686474437762,-0.1234718895806434,-0.11968610320990783,-0.20172392918515117,-0.1653997121941717,-0.22494172310482247,-0.18884325955557926,972
2009-09-01,200909,2009,9,0.03391191772369532,0.0029524058579063067,0.04026221996359303,0.06184862842486104,0.045780543425436644,0.0029412396575501103,0.032874926003504785,0.05758039308699443,0.011257874843629664,0.03557858439036198,976
2009-10-01,200910,2009,10,0.08899794906117839,0.04871711228884072,-0.005062618298380478,0.13765729396114673,0.14115163921615725,0.13150892151584942,0.0763398397778518,0.09521322922886935,0.09261344881991007,0.09066461572784505,985
2009-11-01,200911,2009,11,0.09650458402915453,0.07865766587342145,-0.0329766076737211,0.1658698350530231,0.18805507060027918,0.1768745052726925,0.059814169629632194,0.12024952891869331,0.11476271475740502,0.0981712506958212,993
2009-12-01,200912,2009,12,0.017871313681287866,0.027569556292550368,0.015027162855845752,0.04012413345544586,0.042453098128504466,0.03471992964140279,0.024233285854722158,0.010772042535906141,-0.00041683604292628,0.019537980347954533,1016
2010-01-01,201001,2010,1,-0.06896986150950428,0.05180432249946672,-0.03142551203683018,-0.013986023403550091,-0.012541588848466411,-0.009173128841898137,-0.1020741221847787,-0.045003593734765805,-0.044035992672770294,-0.06730319484283762,1017
2010-02-01,201002,2010,2,0.02964797422813285,0.03624388041397661,-0.022145136952295266,0.056481417953292964,0.07000502846007994,0.0743664156254841,0.01358134424654475,0.03855325607143828,0.03998662047894415,0.03131464089479952,1038
2010-03-01,201003,2010,3,0.014601200320782187,0.037882562459410025,-0.015099422250640242,0.03984123760292946,0.05674176119229945,0.05566369142268122,0.005177333149503159,0.013867945859145008,0.01955372383103188,0.016267866987448854,1059
2010-04-01,201004,2010,4,-0.06336056916780917,-0.0015499738111304229,-0.013167398073305712,-0.048321155538177216,-0.039571226300297926,-0.07813881628565146,-0.08047655212771045,-0.05658062932940009,-0.024324095233624773,-0.061693902501142504,1072
2010-05-01,201005,2010,5,-0.08108113283830427,-0.0032034678791639515,-0.03385989421852899,-0.08902515156217924,-0.0516034084562174,-0.07831631846912726,-0.1081610356606032,-0.050023358872831616,-0.05115008031659722,-0.07941446617163761,1089
2010-06-01,201006,2010,6,-0.07910292711056606,-0.007311588774895156,0.018630406059367804,-0.08414147662660426,-0.07862393705890132,-0.09845892460780625,-0.07071662289720464,-0.0749129620366834,-0.09365998703473827,-0.0774362604438994,1109
2010-07-01,201007,2010,7,0.12811372206126856,0.04279097352455179,0.015207127415615668,0.1714321570387351,0.1587813661524417,0.15909164829583083,0.13077883430518877,0.1174483283913017,0.11270508821686173,0.12978038872793524,1127
2010-08-01,201008,2010,8,0.053048499720685344,0.041709632520162215,-0.0736751816721005,0.07681420336414782,0.11469993612851953,0.12422180055545452,-0.0008893686206782377,0.09244301357609745,0.09905339753221606,0.05471516638735201,1141
2010-09-01,201009,2010,9,0.0267174114483864,-0.015462674296571898,-0.052894852142055304,-5.623410636684768e-06,0.037180344380357735,0.03838947674850866,0.004210365504183115,0.046136885474613885,0.07160496962914839,0.028384078115053068,1159
